,Loss,Accuracy,Checkpoint,Testset
0,2.0350,0.4807,densenet_BC_100_12_ra_2_20_c10val_checkpoint_00400.pth,CIFAR10_RA_2_20
1,1.9671,0.4834,densenet_BC_100_12_ra_2_20_checkpoint_00400.pth,CIFAR10_RA_2_20
2,6.1829,0.2664,densenet_BC_100_12_ra_2_20_checkpoint_00050.pth,CIFAR10_RA_2_20
3,3.5367,0.2820,densenet_BC_100_12_ra_2_20_c10val_checkpoint_00050.pth,CIFAR10_RA_2_20
4,4.0615,0.2860,densenet_BC_100_12_ra_2_20_c10val_checkpoint_00400.pth,CIFAR101_RA_2_20
5,4.1677,0.2880,densenet_BC_100_12_ra_2_20_checkpoint_00400.pth,CIFAR101_RA_2_20
6,4.0790,0.3255,densenet_BC_100_12_ra_2_20_checkpoint_00050.pth,CIFAR101_RA_2_20
7,3.4466,0.3145,densenet_BC_100_12_ra_2_20_c10val_checkpoint_00050.pth,CIFAR101_RA_2_20
8,2.6264,0.3260,densenet_BC_100_12_ra_3_20_checkpoint_00400.pth,CIFAR10_RA_3_20
9,4.9469,0.1542,densenet_BC_100_12_ra_3_20_c10val_checkpoint_00050.pth,CIFAR10_RA_3_20
10,2.5828,0.3298,densenet_BC_100_12_ra_3_20_c10val_checkpoint_00400.pth,CIFAR10_RA_3_20
11,4.6274,0.1608,densenet_BC_100_12_ra_3_20_checkpoint_00050.pth,CIFAR10_RA_3_20
12,4.2703,0.1955,densenet_BC_100_12_ra_3_20_checkpoint_00400.pth,CIFAR101_RA_3_20
13,6.5149,0.1950,densenet_BC_100_12_ra_3_20_c10val_checkpoint_00050.pth,CIFAR101_RA_3_20
14,4.3323,0.1945,densenet_BC_100_12_ra_3_20_c10val_checkpoint_00400.pth,CIFAR101_RA_3_20
15,3.6347,0.2060,densenet_BC_100_12_ra_3_20_checkpoint_00050.pth,CIFAR101_RA_3_20
16,1.4287,0.6206,densenet_BC_100_12_ra_2_5_checkpoint_00400.pth,CIFAR10_RA_2_5
17,1.4376,0.6201,densenet_BC_100_12_ra_2_5_c10val_checkpoint_00400.pth,CIFAR10_RA_2_5
18,2.5897,0.5534,densenet_BC_100_12_ra_2_5_c10val_checkpoint_00050.pth,CIFAR10_RA_2_5
19,1.8323,0.5380,densenet_BC_100_12_ra_2_5_checkpoint_00050.pth,CIFAR10_RA_2_5
20,2.6865,0.4725,densenet_BC_100_12_ra_2_5_checkpoint_00400.pth,CIFAR101_RA_2_5
21,2.8749,0.4485,densenet_BC_100_12_ra_2_5_c10val_checkpoint_00400.pth,CIFAR101_RA_2_5
22,3.6019,0.5060,densenet_BC_100_12_ra_2_5_c10val_checkpoint_00050.pth,CIFAR101_RA_2_5
23,2.3368,0.5030,densenet_BC_100_12_ra_2_5_checkpoint_00050.pth,CIFAR101_RA_2_5
