,Loss,Accuracy,Checkpoint,Testset
0,1.5644,0.4336,densenet_BC_100_12_ra_2_20_checkpoint_00100.pth,CIFAR10_RA_2_20
1,1.7676,0.4753,densenet_BC_100_12_ra_2_20_checkpoint_00200.pth,CIFAR10_RA_2_20
2,1.8928,0.4804,densenet_BC_100_12_ra_2_20_checkpoint_00300.pth,CIFAR10_RA_2_20
3,1.9671,0.4834,densenet_BC_100_12_ra_2_20_checkpoint_00400.pth,CIFAR10_RA_2_20
4,1.9929,0.4818,densenet_BC_100_12_ra_2_20_checkpoint_00500.pth,CIFAR10_RA_2_20
5,1.9850,0.4827,densenet_BC_100_12_ra_2_20_checkpoint_00600.pth,CIFAR10_RA_2_20
6,1.9831,0.4818,densenet_BC_100_12_ra_2_20_checkpoint_00700.pth,CIFAR10_RA_2_20
7,1.9949,0.4816,densenet_BC_100_12_ra_2_20_checkpoint_00800.pth,CIFAR10_RA_2_20
8,2.0125,0.4826,densenet_BC_100_12_ra_2_20_checkpoint_00900.pth,CIFAR10_RA_2_20
9,1.9957,0.4831,densenet_BC_100_12_ra_2_20_checkpoint_01000.pth,CIFAR10_RA_2_20
10,2.4279,0.2295,densenet_BC_100_12_ra_2_20_checkpoint_00100.pth,CIFAR101_RA_2_20
11,3.0293,0.2685,densenet_BC_100_12_ra_2_20_checkpoint_00200.pth,CIFAR101_RA_2_20
12,3.9590,0.2775,densenet_BC_100_12_ra_2_20_checkpoint_00300.pth,CIFAR101_RA_2_20
13,4.1677,0.2880,densenet_BC_100_12_ra_2_20_checkpoint_00400.pth,CIFAR101_RA_2_20
14,4.2094,0.2870,densenet_BC_100_12_ra_2_20_checkpoint_00500.pth,CIFAR101_RA_2_20
15,4.2083,0.2900,densenet_BC_100_12_ra_2_20_checkpoint_00600.pth,CIFAR101_RA_2_20
16,4.4202,0.2855,densenet_BC_100_12_ra_2_20_checkpoint_00700.pth,CIFAR101_RA_2_20
17,4.3584,0.2910,densenet_BC_100_12_ra_2_20_checkpoint_00800.pth,CIFAR101_RA_2_20
18,4.3936,0.2910,densenet_BC_100_12_ra_2_20_checkpoint_00900.pth,CIFAR101_RA_2_20
19,4.3737,0.2905,densenet_BC_100_12_ra_2_20_checkpoint_01000.pth,CIFAR101_RA_2_20
