,Loss,Accuracy
0,0.1618,0.9640
1,0.1572,0.9585
2,0.1774,0.9580
3,0.1602,0.9615
4,0.1680,0.9585
5,0.1638,0.9590
6,0.1778,0.9565
7,0.1935,0.9540
8,0.1907,0.9550
9,0.1833,0.9540
10,0.1763,0.9575
11,0.1851,0.9550
12,0.1829,0.9570
13,0.1645,0.9600
14,0.1808,0.9550
15,0.1959,0.9540
16,0.2071,0.9555
17,0.1779,0.9605
18,0.1617,0.9575
19,0.1865,0.9610
20,0.1590,0.9590
21,0.1797,0.9560
22,0.1658,0.9590
23,0.1620,0.9610
24,0.1886,0.9535
25,0.1891,0.9585
26,0.1847,0.9570
27,0.1675,0.9580
28,0.1588,0.9585
29,0.1841,0.9555
30,0.1874,0.9530
31,0.1655,0.9595
32,0.1472,0.9625
33,0.1316,0.9655
34,0.1620,0.9615
35,0.1785,0.9600
36,0.1944,0.9580
37,0.1913,0.9550
38,0.1591,0.9595
39,0.1633,0.9630
40,0.1858,0.9570
41,0.2165,0.9500
42,0.2021,0.9550
43,0.1392,0.9660
44,0.2035,0.9550
45,0.1565,0.9575
46,0.1483,0.9620
47,0.1869,0.9555
48,0.1283,0.9650
49,0.1607,0.9590
50,0.2130,0.9525
51,0.1850,0.9560
52,0.1793,0.9570
53,0.1784,0.9630
54,0.1749,0.9575
55,0.1848,0.9535
56,0.1750,0.9605
57,0.1560,0.9610
58,0.1796,0.9590
59,0.1896,0.9525
60,0.1732,0.9610
61,0.1421,0.9650
62,0.1914,0.9545
63,0.1744,0.9575
64,0.1808,0.9590
65,0.1711,0.9575
66,0.2168,0.9505
67,0.1544,0.9655
68,0.1697,0.9595
69,0.1779,0.9560
70,0.1542,0.9635
71,0.1455,0.9640
72,0.1768,0.9550
73,0.1769,0.9550
74,0.1788,0.9560
75,0.1635,0.9585
76,0.1582,0.9630
77,0.1948,0.9545
78,0.1566,0.9630
79,0.1915,0.9535
80,0.1744,0.9540
81,0.1773,0.9585
82,0.1906,0.9580
83,0.1648,0.9585
84,0.1848,0.9545
85,0.1635,0.9625
86,0.1662,0.9585
87,0.1368,0.9670
88,0.1848,0.9530
89,0.1679,0.9585
90,0.1816,0.9575
91,0.1976,0.9490
92,0.1651,0.9615
93,0.1802,0.9555
94,0.1814,0.9570
95,0.1653,0.9575
96,0.1710,0.9605
97,0.2051,0.9500
98,0.1527,0.9580
99,0.1657,0.9605
100,0.1577,0.9615
101,0.1428,0.9610
102,0.1383,0.9660
103,0.1655,0.9590
104,0.1657,0.9630
105,0.1855,0.9525
106,0.1891,0.9585
107,0.2101,0.9500
108,0.1582,0.9610
109,0.1851,0.9575
110,0.1866,0.9565
111,0.1977,0.9520
112,0.1511,0.9615
