,Model,Testset,Epoch,Loss,Accuracy,Original_Accuracy,Original_CI,Orig_CI_Low,Orig_CI_Hi
10,resnet_basic_32_ra_2_20,cifar10,400,1.7503,72.41,92.5,"(92.0, 93.0)",92.0,93.0
11,resnet_basic_32_ra_2_20,cifar10,300,1.6118,72.59,92.5,"(92.0, 93.0)",92.0,93.0
12,resnet_basic_32_ra_2_20,cifar10.1,400,3.1568,53.75,84.9,"(83.2, 86.4)",83.2,86.4
13,resnet_basic_32_ra_2_20,cifar10.1,300,3.0469999999999997,52.65,84.9,"(83.2, 86.4)",83.2,86.4
14,resnet_basic_32_ra_2_20_refined400,cifar10,50,0.4279,86.7,92.5,"(92.0, 93.0)",92.0,93.0
15,resnet_basic_32_ra_2_20_refined300,cifar10,150,0.4342,87.4,92.5,"(92.0, 93.0)",92.0,93.0
16,resnet_basic_32_ra_2_20_refined400,cifar10.1,50,0.8061,76.44999999999999,84.9,"(83.2, 86.4)",83.2,86.4
17,resnet_basic_32_ra_2_20_refined300,cifar10.1,150,0.7919,76.35,84.9,"(83.2, 86.4)",83.2,86.4
22,resnet_basic_32_ra_3_20,cifar10,400,4.3634,45.87,92.5,"(92.0, 93.0)",92.0,93.0
23,resnet_basic_32_ra_3_20,cifar10,300,3.5888,47.43,92.5,"(92.0, 93.0)",92.0,93.0
24,resnet_basic_32_ra_3_20,cifar10.1,400,5.7641,31.85,84.9,"(83.2, 86.4)",83.2,86.4
25,resnet_basic_32_ra_3_20,cifar10.1,300,4.8777,35.0,84.9,"(83.2, 86.4)",83.2,86.4
26,resnet_basic_32_ra_3_20_refined400,cifar10.1,50,0.8118,74.1,84.9,"(83.2, 86.4)",83.2,86.4
27,resnet_basic_32_ra_3_20_refined400,cifar10,50,0.4777,85.46000000000001,92.5,"(92.0, 93.0)",92.0,93.0
28,resnet_basic_32_ra_3_20_refined300,cifar10,150,0.4869,85.78,92.5,"(92.0, 93.0)",92.0,93.0
29,resnet_basic_32_ra_3_20_refined300,cifar10.1,150,0.8726,75.1,84.9,"(83.2, 86.4)",83.2,86.4
30,resnet_basic_32,cifar10,100,0.3604,91.7,92.5,"(92.0, 93.0)",92.0,93.0
31,resnet_basic_32,cifar10,160,0.4011,92.32000000000001,92.5,"(92.0, 93.0)",92.0,93.0
32,resnet_basic_32,cifar10.1,160,0.8051,83.2,84.9,"(83.2, 86.4)",83.2,86.4
37,resnet_basic_32_ra_2_5,cifar10,400,1.1508,81.47999999999999,92.5,"(92.0, 93.0)",92.0,93.0
38,resnet_basic_32_ra_2_5,cifar10,300,1.0633,81.38,92.5,"(92.0, 93.0)",92.0,93.0
39,resnet_basic_32_ra_2_5,cifar10.1,400,2.0591,67.8,84.9,"(83.2, 86.4)",83.2,86.4
40,resnet_basic_32_ra_2_5,cifar10.1,300,1.9379,67.05,84.9,"(83.2, 86.4)",83.2,86.4
41,resnet_basic_32_ra_2_5_refined400,cifar10.1,50,0.768,77.9,84.9,"(83.2, 86.4)",83.2,86.4
42,resnet_basic_32_ra_2_5_refined400,cifar10,50,0.4499,87.66000000000001,92.5,"(92.0, 93.0)",92.0,93.0
43,resnet_basic_32_ra_2_5_refined300,cifar10,150,0.4499,87.94999999999999,92.5,"(92.0, 93.0)",92.0,93.0
44,resnet_basic_32_ra_2_5_refined300,cifar10.1,150,0.8206,77.1,84.9,"(83.2, 86.4)",83.2,86.4
